star,evaluation,评价关键词,评论类型
star5,耐克很好值得好评。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服穿上很舒服，客服推荐的尺码很合适，纯棉面料，愉快的一次购物,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,面料舒适，朴素大方。就算我这种胖子穿上也不会显得挤，五星好评！,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,不错的东西，家人很喜欢。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,纯棉面料，穿着很舒服，儿子很喜欢,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,质量不错，暂时还没有穿。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,孩子考试图吉利，好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"面料材质：上手质感很舒服
上身效果：非常好
舒适程度：非常好
吸汗效果：很好
身材体型：非常非常好
其他特色：很开心的一次购物","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"很好 很喜欢
上身效果：很舒服","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,很好物流也快质量非常好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服上身特别好是正品,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,非常好，真正的京东自营,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,还可以。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,非常棒！面料好，手感舒服,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,穿起来很舒服，还很漂亮，满意,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,正品！ 不错呦  京东物流就是给力,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,性价比可以,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服收到了，大小刚合适，孩子很喜欢,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,商品的质量很好，京东自营商品，值得购买。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
